slug,nome,municipio,uf,api_integrada,cupom_bradesco,hotel_id,regiao,experiencia,destino
atins-charme,Atins Charme,Barreirinhas,MA,SIM,SIM,17874,nordeste,praia,Lençóis Maranhenses
bahia-bonita-hotel-boutique-quadrado,Bahia Bonita Hotel Boutique Quadrado,Trancoso,BA,SIM,SIM,6588,nordeste,praia,Trancoso
baia-das-caraubas,Baia das Caraubas,Camocin,CE,NÃO,NÃO,,nordeste,praia,Rota das Emoções
belmond-copacabana-palace,Belmond Copacabana Palace,Rio de Janeiro,RJ,NÃO,NÃO,,sudeste,praia,Copacabana
botanique-hotel-experience,Botanique Hotel Experience,Bairro dos Mellos,SP,NÃO,NÃO,,sudeste,serra,Campos do Jordão
bupitanga-hotel,Bupitanga Hotel,Praia da Pipa,RN,SIM,SIM,8574,nordeste,praia,Pipa
cabanas-do-vale,Cabanas do Vale,Petrópolis,RJ,NÃO,NÃO,,sudeste,serra,Itaipava
caiman-pantanal,Caiman Pantanal,Miranda,MS,NÃO,NÃO,,Centro-oeste,campo,Pantanal 
canto-do-irere-boutique-hotel,Canto do Irere Boutique Hotel,Atibaia,SP,NÃO,NÃO,,sudeste,campo,Interior de São Paulo
carmel-charme,Carmel Charme,Aquiraz,CE,NÃO,NÃO,,nordeste,praia,Aquiraz
carmel-taiba-exclusive-resort,Carmel Taiba Exclusive Resort,São Gonçalo do Amarante,CE,NÃO,NÃO,,nordeste,praia,Praia da Taíba
casa-da-montanha-hotel,Casa da Montanha Hotel,Gramado,RS,NÃO,NÃO,,sul,serra,Gramado
casa-de-santo-antonio,Casa de Santo Antonio,Parnaiba,PI,NÃO,NÃO,,nordeste,praia,Delta do Parnaíba
casa-do-arandis,Casa do Arandis,Maraú,BA,NÃO,NÃO,,nordeste,praia,Algodões
casa-marambaia,Casa Marambaia,Petropolis,RJ,NÃO,NÃO,,sudeste,serra,Correas
casa-nah-praia,Casa NAH Praia,Passo de Camaragibe,AL,NÃO,NÃO,,nordeste,praia,Praia do Marceneiro
casa-poema,Casa Poema,Alto Paraiso de Goiás,GO,NÃO,NÃO,,Centro-oeste,campo,Chapada dos Veadeiros
casa-rosa,Casa Rosa,Petrópolis,RJ,NÃO,NÃO,,sudeste,serra,Serra Fluminense
casa-turquesa,Casa Turquesa,Paraty,RJ,SIM,NÃO,2612,sudeste,praia,Centro Histórico de Paraty
clara-arte-resort,Clara Arte Resort,Brumadinho,MG,NÃO,NÃO,,sudeste,campo,Inhotim
clara-dourado-resort,Clara Dourado Resort,Dourado,SP,SIM,NÃO,13652,sudeste,Campo,Interior de São Paulo
clara-ibiuna-resort,Clara Ibiúna Resort,Ibiúna,SP,SIM,NÃO,13663,sudeste,Campo,Interior de São Paulo
faimont-rio-de-janeiro-copacabana,Faimont Rio de Janeiro Copacabana,Rio de Janeiro,RJ,NÃO,NÃO,,sudeste,praia,Copacabana
fasano-angra-dos-reis,Fasano Angra dos Reis,Angra dos Reis,RJ,NÃO,NÃO,,sudeste,praia,Angra
fasano-bh,Fasano - BH,Belo Horizonte,MG,NÃO,NÃO,,sudeste,cidade,Lourdes
fasano-boavista,Fasano - Boavista,Porto Feliz,SP,NÃO,NÃO,,sudeste,campo,Interior de São Paulo
fasano-rj,Fasano - RJ,Rio de Janeiro,RJ,NÃO,NÃO,,sudeste,praia,Ipanema
fasano-sp,Fasano - SP,São Paulo,SP,NÃO,NÃO,,sudeste,cidade,Cerqueira César
fasano-ssa,Fasano - SSA,Salvador,BA,NÃO,NÃO,,nordeste,cidade,Salvador
fazenda-moreias,Fazenda Moréias,Camocim,CE,NÃO,NÃO,,nordeste,praia,Camocim
fazenda-sao-luiz-da-boasorte,Fazenda São Luiz da Boasorte,Vassouras,RJ,NÃO,NÃO,,sudeste,serra,serra Fluminense
grande-hotel-termas-araxa,Grande Hotel Termas Araxa,Araxa,MG,NÃO,NÃO,,sudeste,campo,Araxá
hcm-hotel-corais-de-manaira,HCM Hotel Corais de Manaíra,João Pessoa,PB,NÃO,NÃO,,nordeste,praia,Manaíra
hotel-belmond-cataratas,Hotel Belmond Cataratas,Foz do Iguaçu,PR,NÃO,NÃO,,sul,campo,Cataratas do Iguaçu
